combo;DL1;DL2;DL3;DL4;DL5;UL1;MOD UL1;NR DL1;NR BW1;NR SCS1;NR DL2;NR BW2;NR SCS2;NR UL1;NR UL BW1;NR UL SCS1;NR UL MOD1;mimo DL1;mimo DL2;mimo DL3;mimo DL4;mimo DL5;mimo NR DL1;mimo NR DL2;mimo LTE UL1;mimo NR UL1;BCS NR;BCS LTE;BCS intraENDC
41C2-1A4A_n77A4A-n28A4;41C;1A;;;;1A;256qam;77A;100;;28A;30;;77A;100;;256qam;2;4;;;;4;4;1;1;;;
41A4-1A4A_n77A4-n28A4A;41A;1A;;;;1A;256qam;77A;100;;28A;30;;28A;30;;256qam;4;4;;;;4;4;1;1;;;
41A4-1A4A_n77A4A-n28A4;41A;1A;;;;1A;256qam;77A;100;;28A;30;;77A;100;;256qam;4;4;;;;4;4;1;1;;;
41C2A-1A4_n77A4-n28A4A;41C;1A;;;;41A;256qam;77A;100;;28A;30;;28A;30;;256qam;2;4;;;;4;4;1;1;;;
41C2A-1A4_n77A4A-n28A4;41C;1A;;;;41A;256qam;77A;100;;28A;30;;77A;100;;256qam;2;4;;;;4;4;1;1;;;
41A4A-1A4_n77A4-n28A4A;41A;1A;;;;41A;256qam;77A;100;;28A;30;;28A;30;;256qam;4;4;;;;4;4;1;1;;;
41A4A-1A4_n77A4A-n28A4;41A;1A;;;;41A;256qam;77A;100;;28A;30;;77A;100;;256qam;4;4;;;;4;4;1;1;;;
41C2-1A4A_n28A4A;41C;1A;;;;1A;256qam;28A;30;;;;;28A;30;;256qam;2;4;;;;4;;1;1;;;
41A4-1A4A_n28A4A;41A;1A;;;;1A;256qam;28A;30;;;;;28A;30;;256qam;4;4;;;;4;;1;1;;;
41C2A-1A4_n28A4A;41C;1A;;;;41A;256qam;28A;30;;;;;28A;30;;256qam;2;4;;;;4;;1;1;;;
41A4A-1A4_n28A4A;41A;1A;;;;41A;256qam;28A;30;;;;;28A;30;;256qam;4;4;;;;4;;1;1;;;
41A4-1A4A_n41A4A;41A;1A;;;;1A;256qam;41A;100;;;;;41A;100;;256qam;4;4;;;;4;;1;1;;;
41C2-1A4A_n77A4A-n77A4;41C;1A;;;;1A;256qam;77A;100;;77A;100;;77A;100;;256qam;2;4;;;;4;4;1;1;;;
41A4-1A4A_n77A4A-n77A4;41A;1A;;;;1A;256qam;77A;100;;77A;100;;77A;100;;256qam;4;4;;;;4;4;1;1;;;
41C2A-1A4_n77A4A-n77A4;41C;1A;;;;41A;256qam;77A;100;;77A;100;;77A;100;;256qam;2;4;;;;4;4;1;1;;;
41A4A-1A4_n77A4A-n77A4;41A;1A;;;;41A;256qam;77A;100;;77A;100;;77A;100;;256qam;4;4;;;;4;4;1;1;;;
41C4-1A4A_n77A4A;41C;1A;;;;1A;256qam;77A;100;;;;;77A;100;;256qam;4;4;;;;4;;1;1;;;
41C2-1A4A_n77A4A;41C;1A;;;;1A;256qam;77A;100;;;;;77A;100;;256qam;2;4;;;;4;;1;1;;;
41A4-1A4A_n77A4A;41A;1A;;;;1A;256qam;77A;100;;;;;77A;100;;256qam;4;4;;;;4;;1;1;;;
